listing_id,date
4499317,2019-07-13
4499317,2019-07-28
4499317,2019-07-30
4499317,2019-08-17
4499317,2019-08-31
4499317,2019-09-07
4499317,2019-10-06
4499317,2019-10-12
4499317,2019-11-18
369141,2014-07-09
369141,2014-07-20
369141,2014-08-03
369141,2015-02-17
4499317,2019-12-22
4499317,2019-12-25
4499317,2019-12-25
4499317,2020-01-04
4499317,2020-01-17
4499317,2020-01-21
4499317,2020-01-24
4499317,2020-01-25
4499317,2020-01-26
4499317,2020-01-30
4499317,2020-02-16
4499317,2020-02-20
4499317,2020-02-24
4499317,2020-03-06
4499317,2020-03-06
4499317,2020-04-16
4499317,2020-05-01
4499317,2020-05-03
4499317,2020-05-10
4499317,2020-05-17
369141,2015-03-11
369141,2015-03-19
369141,2015-06-02
369141,2015-09-05
369141,2015-09-21
369141,2015-12-07
369141,2015-12-14
369141,2015-12-22
4499317,2020-07-28
4499317,2020-07-28
4499317,2020-08-02
4499317,2020-08-10
4499317,2020-08-20
4499317,2020-08-23
4499317,2020-09-12
4499317,2020-09-15
4499317,2020-09-16
4499317,2020-09-23
4499317,2020-09-30
4499317,2020-10-12
4499317,2020-10-16
4499317,2020-10-19
4499317,2020-10-24
4499317,2020-10-31
4499317,2020-11-03
4499317,2020-11-06
4499317,2020-11-06
369141,2015-12-27
4499317,2020-11-11
4499317,2020-11-24
4499317,2020-11-29
4499317,2020-12-07
4499317,2020-12-13
4499317,2020-12-22
4499317,2020-12-24
4499317,2020-12-27
4499317,2020-12-30
4499317,2021-01-02
4499317,2021-01-05
4499317,2021-01-05
4499317,2021-01-05
4499317,2021-01-10
4499317,2021-01-11
4499317,2021-01-18
4499317,2021-01-20
4499317,2021-01-20
4499317,2021-01-24
369141,2016-01-02
369141,2016-01-24
369141,2016-04-21
369141,2016-05-01
369141,2016-05-20
369141,2016-07-06
369141,2016-07-11
369141,2016-07-25
369141,2016-07-30
369141,2016-08-24
4499317,2021-01-26
4499317,2021-01-26
4499317,2021-01-29
4499317,2021-02-07
369141,2016-09-10
369141,2016-10-07
369141,2016-10-16
369141,2016-12-25
4499317,2021-02-15
4499317,2021-02-15
4499317,2021-02-18
4499317,2021-02-23
4499317,2021-02-24
4499317,2021-03-01
4499317,2021-03-01
4499317,2021-03-04
4499317,2021-03-12
4499317,2021-03-14
4499317,2021-05-01
4499317,2021-05-14
4499317,2021-05-30
4499317,2021-06-06
4499317,2021-07-26
4499317,2021-08-27
4499317,2021-10-15
4499317,2022-01-31
4499317,2022-04-12
4499317,2022-05-04
4499317,2022-05-07
4499317,2022-05-11
369141,2017-01-15
369141,2017-01-21
369141,2017-01-25
369141,2017-02-12
369141,2017-03-11
369141,2017-04-01
369141,2017-04-08
369141,2017-04-28
369141,2017-06-21
369141,2017-07-05
369141,2017-08-17
369141,2017-08-23
369141,2017-09-16
369141,2017-09-24
369141,2017-10-09
369141,2017-10-25
369141,2017-12-13
369141,2017-12-20
369141,2017-12-23
369141,2017-12-28
369141,2018-01-14
369141,2018-02-20
4499317,2022-06-03
4499317,2022-06-11
